prompt,answer_token,predicted_top1_token
"REISE beginnt mit dem Buchstaben R.
ZEBRA beginnt mit dem Buchstaben Z.
NIE beginnt mit dem Buchstaben N.
ECHO beginnt mit dem Buchstaben E.
BALANCE beginnt mit dem Buchstaben B.
WOLKE beginnt mit dem Buchstaben W.
OZEAN beginnt mit dem Buchstaben O.
BIEGUNG beginnt mit dem Buchstaben", B, B
"REISE beginnt mit dem Buchstaben R.
ZEBRA beginnt mit dem Buchstaben Z.
NIE beginnt mit dem Buchstaben N.
ECHO beginnt mit dem Buchstaben E.
BALANCE beginnt mit dem Buchstaben B.
WOLKE beginnt mit dem Buchstaben W.
OZEAN beginnt mit dem Buchstaben O.
SCHWER beginnt mit dem Buchstaben", S, S
"REISE beginnt mit dem Buchstaben R.
ZEBRA beginnt mit dem Buchstaben Z.
NIE beginnt mit dem Buchstaben N.
ECHO beginnt mit dem Buchstaben E.
BALANCE beginnt mit dem Buchstaben B.
WOLKE beginnt mit dem Buchstaben W.
OZEAN beginnt mit dem Buchstaben O.
SCHÖN beginnt mit dem Buchstaben", S, S
"REISE beginnt mit dem Buchstaben R.
ZEBRA beginnt mit dem Buchstaben Z.
NIE beginnt mit dem Buchstaben N.
ECHO beginnt mit dem Buchstaben E.
BALANCE beginnt mit dem Buchstaben B.
WOLKE beginnt mit dem Buchstaben W.
OZEAN beginnt mit dem Buchstaben O.
FRAGEN beginnt mit dem Buchstaben", F, F
"REISE beginnt mit dem Buchstaben R.
ZEBRA beginnt mit dem Buchstaben Z.
NIE beginnt mit dem Buchstaben N.
ECHO beginnt mit dem Buchstaben E.
BALANCE beginnt mit dem Buchstaben B.
WOLKE beginnt mit dem Buchstaben W.
OZEAN beginnt mit dem Buchstaben O.
ERWEITERN beginnt mit dem Buchstaben", E, E
"REISE beginnt mit dem Buchstaben R.
ZEBRA beginnt mit dem Buchstaben Z.
NIE beginnt mit dem Buchstaben N.
ECHO beginnt mit dem Buchstaben E.
BALANCE beginnt mit dem Buchstaben B.
WOLKE beginnt mit dem Buchstaben W.
OZEAN beginnt mit dem Buchstaben O.
VORDERSEITE beginnt mit dem Buchstaben", V, V
"REISE beginnt mit dem Buchstaben R.
ZEBRA beginnt mit dem Buchstaben Z.
NIE beginnt mit dem Buchstaben N.
ECHO beginnt mit dem Buchstaben E.
BALANCE beginnt mit dem Buchstaben B.
WOLKE beginnt mit dem Buchstaben W.
OZEAN beginnt mit dem Buchstaben O.
ZÄH beginnt mit dem Buchstaben", Z, Z
"REISE beginnt mit dem Buchstaben R.
ZEBRA beginnt mit dem Buchstaben Z.
NIE beginnt mit dem Buchstaben N.
ECHO beginnt mit dem Buchstaben E.
BALANCE beginnt mit dem Buchstaben B.
WOLKE beginnt mit dem Buchstaben W.
OZEAN beginnt mit dem Buchstaben O.
ART beginnt mit dem Buchstaben", A, A
"REISE beginnt mit dem Buchstaben R.
ZEBRA beginnt mit dem Buchstaben Z.
NIE beginnt mit dem Buchstaben N.
ECHO beginnt mit dem Buchstaben E.
BALANCE beginnt mit dem Buchstaben B.
WOLKE beginnt mit dem Buchstaben W.
OZEAN beginnt mit dem Buchstaben O.
GEHE beginnt mit dem Buchstaben", G, G
"REISE beginnt mit dem Buchstaben R.
ZEBRA beginnt mit dem Buchstaben Z.
NIE beginnt mit dem Buchstaben N.
ECHO beginnt mit dem Buchstaben E.
BALANCE beginnt mit dem Buchstaben B.
WOLKE beginnt mit dem Buchstaben W.
OZEAN beginnt mit dem Buchstaben O.
CHIRURGIE beginnt mit dem Buchstaben", C, C
